标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【产品推广】微信公众号推广,https://task.epwk.com/472334/,2541人,1人,2万-5万元,圆满完成,o5885a1c9a48b2,美容产品微信公众号推广，推广目标：18-55岁女性，已和服务商谈好合作，其他人谢绝联系，谢谢！,2017-01-23,2017.01.30,任务编号：472334,25000.0,7天,北京市-北京市-东城区,至诚网络工作室,https://shop.epwk.com/09drjjqel53w/,至诚网络工作室,出售服务,https://shop.epwk.com/09drjjqel53w/chushou/,工作室,二品,36分,,,至诚网络工作室,,,,,,,,,,,,,,,,,,,,产品推广
【微信推广】微信公众号推广,https://task.epwk.com/464516/,1451人,3人,1000元以内,圆满完成,mf189****9162,微信公众号推广，懂得来，具体详谈,2016-12-13,2016.12.22,任务编号：464516,500.0,"2天,15天,3天","河北省-石家庄市-市辖区,广西-南宁市-江南区,湖南省-长沙市-芙蓉区",mf18631526868,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信推广
【活动策划】文化传播公司活动方案策划,https://task.epwk.com/453870/,2577人,7人,1000元以内,圆满完成,mf138****4535,策划一场活动，，要求方案有吸引力，，针对海南文化来进行策划，，其他的具体私聊。,2016-10-26,2016.11.04,任务编号：453870,500.0,"5天,5天,1天,3天,5天,3天,3天","浙江省-杭州市-上城区,广东省-深圳市-罗湖区,河北省-石家庄市-新华区,上海市-市辖区-浦东新区,广东省-广州市-白云区,河北省-唐山市-路北区,辽宁省-沈阳市-市辖区",乐心传媒工作室,https://shop.epwk.com/z2nkzz662nqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【活动策划】员工摄影大赛活动策划,https://task.epwk.com/443212/,3736人,19人,1000元以内,圆满完成,Mr133****5758,员工摄影大赛活动策划，需要威客协助写一份文案，用于PPT上展示。文案：大概有4~6页PPT左右备注：不是PPT设计，是文案价格：再议工期：周五之前完成,2016-08-30,2016.09.18,任务编号：443212,200.0,"1天,3天,1天,3天,8天,4天,1天,1天,3天,3天,2天,2天","上海市-市辖区-浦东新区,江苏省-常州市-天宁区,广东省-深圳市-市辖区,江苏省-苏州市-吴中区,广东省-深圳市-福田区,广东省-深圳市-宝安区,辽宁省-大连市-金州区,四川省-成都市-双流县,上海市-市辖区-杨浦区,河北省-邢台市,福建省-泉州市-南安市,北京市-北京市-朝阳区",爱设工作室,https://shop.epwk.com/mod0447045yv/,爱设工作室,出售服务,https://shop.epwk.com/mod0447045yv/chushou/,工作室,六品,40分,,,爱设工作室,,VI设计服务,价格面议,LOGO设计服务,价格面议,app产品设计服务,价格面议,整站网页设计服务,价格面议,宣传册页设计服务,价格面议,海报设计服务,价格面议,包装设计服务,价格面议,名片设计服务,价格面议,,,活动策划
【活动策划】唐山本地综合门户网站线下活动策划,https://task.epwk.com/442657/,1412人,3人,1000元以内,圆满完成,mf135****5482,唐山在线是唐山本地综合信息门户网站因为网站刚刚开始运营 需要扩大知名度 想在九月份组织一场线下活动要求：需要策划一下活动的类型和一些细节还有奖品的设置有自己的网站和微信号进行推广最好是慢跑相关的活动，让看到的人多一些要求穿上唐山在线定制T恤预计人数：30人-40人,2016-08-28,2016.08.31,任务编号：442657,400.0,"3天,3天","湖南省-娄底市-娄星区,江苏省-南京市-市辖区",瞎子的视觉,https://shop.epwk.com/zqdpl0q6pn1v/,瞎子的视觉,出售服务,https://shop.epwk.com/zqdpl0q6pn1v/chushou/,工作室,六品,39分,,,瞎子的视觉,,,,,,,,,,,,,,,,,,,,活动策划
【网站优化方案】设计资讯免费网站推广,https://task.epwk.com/438923/,1067人,2人,1000元以内,圆满完成,M1803****838,设计资料网站：设计视觉网（7777772e7368656a697368696a75652e636f6d或搜索设计视觉分享）任务要求：1. 对网站进行推广，让设计师人群注册。     2. 保证有多少个会员注册需要多少钱，请自己提出要求。     3. 也可以提出自己的推广方法。     4. 如果达到要求，可长期合作。请勿致电，具体QQ联系沟通,2016-08-08,2016.08.17,任务编号：438923,600.0,"10天,15天","山西省-晋中市-榆次区,江苏省-苏州市-吴中区",冰火视觉,https://shop.epwk.com/78n966y9onkv/,冰火视觉,出售服务,https://shop.epwk.com/78n966y9onkv/chushou/,个人,四品,30分,,,冰火视觉,,icon设计 图标设计 APP设计 专题页设计 单页设计 移动应用设计 APP美工 引导页设计 启动页/闪频设计 框架,"￥50
            /次",网页设计 网站设计 单页设计 专题页设计 WEB前端代码开发 详情页设计 首页设计 至少提供两版以上选择 界面,"￥100
            /次",三折页设计 DM设计 宣传单设计 卡片设计 贺卡设计 名片设计 印刷喷绘全部可做 100%格式规格不出错 两版方案,"￥200
            /件",banner设计 海报设计 网站banner海报 平面海报 电商海报banner 一天完成 至少两版以上可供您对比选择,"￥100
            /件",,,,,,,,,,,网站优化方案
【网店推广】淘宝店铺运营推广,https://task.epwk.com/436188/,2426人,1人,5000-10000元,圆满完成,沙漠鱼01,淘宝店铺的运营推广。要有实力的推广商，,2016-07-25,2016.09.26,任务编号：436188,7000.0,90天,山东省-青岛市-城阳区,青岛飞鸟互联网络科技有限公司,https://shop.epwk.com/2j5jj380v5pz/,青岛飞鸟互联网络科技有限公司,出售服务,https://shop.epwk.com/2j5jj380v5pz/chushou/,企业,五品,40分,,,青岛飞鸟互联网络科技有限公司,,淘宝天猫整店装修设计首页详情页无线端主图设计优化制作,"￥1500
            /次",照片美化图片后期处理ps修图换水印背景图片改字,"￥5
            /次",天猫淘宝阿里巴巴代运营店铺整体托管一站式服务网店推广运营优化,"￥3000
            /月",网站定制开发,"￥4200
            /次",网站建设,￥3600,HTML5网站建设,"￥6800
            /次",WEB网页开发,价格面议,PC+手机网站开发,价格面议,微信商城搭建微信平台开发微店微官网微网站微商城公众号营销推广,"￥3800
            /件",网店推广
【关键词优化】公司外贸网站二期制作,https://task.epwk.com/429179/,1375人,1人,5000-10000元,圆满完成,mf182****6555,网站制作2期,2016-06-22,2016.07.03,任务编号：429179,7600.0,20天,北京市-北京市-海淀区,万博通达：品牌设计，UI设计，网站建设，APP开发，微信开发,https://shop.epwk.com/qgdmjjzeydke/,万博通达：品牌设计，UI设计，网站建设，,出售服务,https://shop.epwk.com/qgdmjjzeydke/chushou/,企业,一品,90分,,,万博通达：品牌设计，UI设计，网站建设，,,企业官网,￥3980,APP,价格面议,后台开发,1,定制网站,价格面议,,,,,,,,,,,关键词优化
【产品推广】关于鲜花工作室的文案推广,https://task.epwk.com/425112/,3647人,6人,1000元以内,圆满完成,苏涵的开始,目前已经创办了鲜花工作室，但是宣传还没有做。在第一期宣传前想给鲜花店做好定位，尤其是第一期鲜花的推广本人也是做设计出身，希望有这方面爱好的，有想法的当然文案功底可以的跟我联系需要的是鲜花工作室的整体推广文案,2016-06-01,2016.07.06,任务编号：425112,200.0,"5天,3天,5天,10天,7天","浙江省-杭州市-萧山区,湖南省-长沙市-芙蓉区,江苏省-无锡市-滨湖区,河北省-沧州市-南皮县,安徽省-宿州市-墉桥区",威客阿D-软文新闻稿文案设计品牌推广,https://shop.epwk.com/09drj70x153w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【网站优化方案】公司网站推广SEO优化,https://task.epwk.com/419312/,3896人,11人,3000-5000元,圆满完成,skal2017,网站名称：www.haoyankj.com公司名称：唐山浩研冶金科技有限公司任务简述：公司网站宣传推广，SEO优化（含产品关键词）,2016-05-03,2016.07.21,任务编号：419312,3000.0,"45天,30天,3天,7天,40天,15天,15天,25天,40天","广东省-深圳市,北京市-北京市-东城区,湖南省-长沙市-芙蓉区,四川省-成都市-武侯区,北京市-北京市-石景山区,安徽省-宿州市-墉桥区,北京市-北京市,陕西省-西安市-雁塔区,江苏省-苏州市-市辖区",华鼎网络科技,https://shop.epwk.com/2j5jj3o495pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【产品推广】淘宝店铺推广,https://task.epwk.com/410684/,1370人,1人,1000-3000元,圆满完成,fengjuan521,要求店铺推广策划方案。保证单品的转化率和无线端维护，具体电话联系。,2016-03-19,2016.03.19,任务编号：410684,2000.0,1天,陕西省-西安市-雁塔区,世纪晨冉设计工作室,https://shop.epwk.com/omdwkkl91drp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【APP推广】QQ群推广,https://task.epwk.com/396376/,3694人,7人,1000元以内,圆满完成,o566a8b18923b4,需要帮忙拉人进群业务   有这方面资源的联系我    要求是活人 请投标联系,2015-12-11,2015.12.14,任务编号：396376,300.0,"2天,2天,30天,5天,24天,7天,7天","江苏省-镇江市-句容市,安徽省-合肥市,山东省-潍坊市,浙江省-杭州市-临安市,山东省-莱芜市,广东省-东莞市,江苏省-无锡市",专注各类推广,https://shop.epwk.com/p05qjjy7rdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP推广
【微信推广】做微信广告链接可传广告图,https://task.epwk.com/393619/,2436人,2人,1000元以内,圆满完成,追忆梦的颜色,找人帮忙做微信广告链接，可以上传两张图片，比较简单的任务。会做的请联系并报价,2015-11-26,2015.12.02,任务编号：393619,200.0,"1天,5天","黑龙江-哈尔滨市-南岗区,广东省-深圳市-龙岗区",哈视奇广告设计,https://shop.epwk.com/3gd2m2wrener/,哈视奇广告设计,出售服务,https://shop.epwk.com/3gd2m2wrener/chushou/,企业,七品,39分,,,哈视奇广告设计,,,,,,,,,,,,,,,,,,,,微信推广
【产品推广】iOS版本APP推广,https://task.epwk.com/390985/,2709人,4人,1000元以内,圆满完成,mf135****2817,我的这个APP只能通过网页下载或者扫二维码下载，并且只能是苹果手机用户。具体价格联系的时候再谈。,2015-11-12,2015.11.18,任务编号：390985,100.0,"50天,10天,10天,10天","广东省-惠州市,河北省-石家庄市-赵　县,河南省-郑州市-金水区,安徽省-合肥市",o56471c38c32ea,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【产品推广】找淘宝助排名优化,https://task.epwk.com/385947/,1884人,1人,1000-3000元,圆满完成,空心素颜,自己淘宝的店铺，想提高店铺的信用及等级。有没有会的大神速于我联系。着急。非诚勿扰，、pianzi勿扰。只通过一品威客交易，其他一律免谈。,2015-10-19,2015.11.03,任务编号：385947,1000.0,3天,吉林省-松原市-乾安县,鹏程电子商务服务,https://shop.epwk.com/89dvgy8l4dl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【网站优化方案】请高手支招,https://task.epwk.com/383170/,1690人,3人,1000元以内,圆满完成,mf183****3833,请高手指导如何挖掘别人网站推广渠道:方式等切全面的信息,2015-10-05,2015.10.07,任务编号：383170,100.0,"2天,1天,3天","陕西省-商洛市,河南省-郑州市,湖南省-长沙市-芙蓉区",赌股,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【网店推广】找淘宝助排名优化,https://task.epwk.com/382065/,1553人,1人,1000-3000元,圆满完成,空心素颜,自己淘宝的店铺，想提高店铺的信用及等级。有没有会的大神速于我联系。着急。非诚勿扰，、pianzi勿扰。只通过一品威客交易，其他一律免谈。,2015-09-26,2015.10.15,任务编号：382065,1000.0,3天,吉林省-松原市-乾安县,鹏程电子商务服务,https://shop.epwk.com/89dvgy8l4dl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网店推广
【网店推广】找淘宝助排名优化,https://task.epwk.com/380390/,2892人,7人,1000-3000元,圆满完成,空心素颜,自己淘宝的店铺，想提高店铺的信用及等级。有没有会的大神速于我联系。着急。非诚勿扰，、pianzi勿扰。只通过一品威客交易，其他一律免谈。,2015-09-18,2015.09.26,任务编号：380390,1000.0,"3天,2天,1天,15天,30天,3天,1天","吉林省-松原市-乾安县,山东省-聊城市-临清市,辽宁省-朝阳市-双塔区,天津市-县,广东省-广州市-海珠区,福建省-泉州市-晋江市,天津市-市辖区-和平区",鹏程电子商务服务,https://shop.epwk.com/89dvgy8l4dl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网店推广
【APP推广】简单任务，Q号跟Q群推广,https://task.epwk.com/366094/,2868人,6人,1000元以内,圆满完成,金闪雀羽,要求如下，在各个有关本行业的论坛发帖，百度贴吧之类的，内容可以生动形象的推广我的Q号跟Q群，只要别人一搜索有关这个行业就能有显示我的Q号跟Q群，任务完成很简单，记住每推广一次就把该网站复制下，好让我查看审核，联系我，跟我沟通好就可以开工，QQ联系,2015-07-14,2015.07.20,任务编号：366094,300.0,"5天,7天,5天,5天,10天,100天","浙江省-宁波市,山西省-运城市,山东省-滨州市-邹平县,江苏省-常州市,安徽省-淮北市,浙江省-金华市-义乌市",mf15755162646,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP推广
【网店推广】新开网店需要推广,https://task.epwk.com/360403/,3282人,10人,1000元以内,圆满完成,o5523****68c82,http://shop113665428.taobao.com/shop/view_shop.htm?spm=a1z0e.1.10010.4.Sibejz 这是我新开的网店地址，刚开业信用不高。想慢慢让店铺走上正轨。,2015-06-16,2015.07.18,任务编号：360403,300.0,"30天,5天,3天,30天,180天,1天,10天,7天,1天,3天","广东省-深圳市-龙岗区,广西-贺州市-富川瑶族自治县,广东省-广州市-天河区,福建省-厦门市-思明区,山东省-青岛市-即墨市,四川省-宜宾市-江安县,广东省-广州市-黄埔区,广东省-广州市-天河区,上海市-市辖区-虹口区,广东省-河源市",华鼎网络科技,https://shop.epwk.com/2j5jj3o495pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网店推广
【关键词优化】新闻源发布和网站SEO优化主要站内站外更新,https://task.epwk.com/358825/,3562人,5人,3000-5000元,圆满完成,金利源,注明：先投标合适的我会直接联系，别给我打电话。新闻源另外计算，按计件，报价时特别注明下：一篇软文收多少费用，一篇软文发几个地址每天外链50条站内更新每个站2篇参考www.jlybc.comwww.jlywood.com注明：先投标合适的我会直接联系，别给我打电话。要求：1、文字必须为原创或高质量的伪原创。2、文章必须加入企业微信、微博、等联系方式。3、文章标题一定要更换，百度要有收录4、链接必须保证在三天内不被删除5、必须在相关行业网站（木业网站）发布6、必须为手工贴4、帖子要保证不登录也可见，链接有效，可正常显示7、软件发帖，广告专区，灌水帖无效，8、百度能收录9、问答不能过于简单，一定要包含金利源信息，稳定不被百度删掉,2015-06-10,2015.06.15,任务编号：358825,4500.0,"30天,5天,7天,60天,30天","福建省-厦门市,北京市-北京市,安徽省-合肥市-庐阳区,福建省-厦门市-思明区,北京市-北京市-东城区",俊程堂网络工作室,https://shop.epwk.com/89dvgo2wgdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【微博营销】博客推广,https://task.epwk.com/348591/,4675人,5人,1000元以内,圆满完成,yinwen,我的博客现在发布了几个公告，需要人了解，其他地方作小广告效果不明显，想将博客访问量提高到300000，现在有6410，在本省内加大宣传。可长期合作,2015-04-25,2015.05.11,任务编号：348591,600.0,"6天,60天,1天,7天,10天","陕西省-西安市-莲湖区,陕西省-西安市-未央区,浙江省-绍兴市-绍兴县,内蒙古-兴安盟-突泉县,山东省-青岛市-黄岛区",全球好文案,https://shop.epwk.com/qgdmjmlgrdke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微博营销
【微信推广】微信平台建构,https://task.epwk.com/345600/,3269人,6人,2万-5万元,圆满完成,天语文化传媒,具体要求：工作概述：全国书法培训机构微信、微营销平台的开发及合作运营。详细工作内容：积累了书法培训培训学校资源，在业内有良好的声誉。现欲寻it落地合作伙伴进行微营销相关业务。需求：1.免费，用户自助建站服务。含微站及公众号等。2.少量费用的代运维及增值微营销服务。3.高费用的定制化品牌微营销服务。含微站、公众号、直达号等落地，含场景应用等活动策划。推广计划4.有优秀的软文写作能力，图片设计能力，可以达到一定的点击率,2015-04-13,2015.04.21,任务编号：345600,45000.0,"10天,30天,3天,10天,3天","福建省-福州市-仓山区,江西省-南昌市-青山湖区,陕西省-西安市,广西-南宁市-市辖区,上海市-市辖区",重庆汪林创意公司,https://shop.epwk.com/78n96939znkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信推广
【APP推广】指定类型QQ群广告群发,https://task.epwk.com/344766/,3084人,7人,1000元以内,圆满完成,hackbear,需要从QQ群关键字搜索 千年 加该关键词的游戏群进行指定广告词的发送价格具体商量，可以长期合作威客自己报价也行，就是加一个群发一条是多少钱，可以按100个群合计报价如果能加活跃群成员私聊发也可以具体谈价格,2015-04-09,2015.04.28,任务编号：344766,200.0,"7天,7天,7天,20天,7天,7天,7天","辽宁省-盘锦市-兴隆台区,安徽省-合肥市-蜀山区,广东省-东莞市-东莞市,广西-崇左市-天等县,广西-河池市-金城江区,陕西省-宝鸡市,河北省-衡水市-桃城区",鹏毓网络,https://shop.epwk.com/4rn8qv473ngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP推广
【微信推广】网络营销推广（网站建设、微信、百度）,https://task.epwk.com/337624/,5016人,5人,1万-2万元,圆满完成,阳光空气,主要是公司宣传，品牌推广，吸引客人，做总体的网络营销推广方案：1、网站建设，可以用模板，内容图片我们提供，后期维护可以培训，体验上要优秀.网站浏览速度一定要在1~2秒内打开，可以做SEO优化，百度搜索排名靠前2、申请一个服务号，提供微信平台，简单易用，界面亲和，自定义菜单栏3个，每个子导航5个左右，具体图片和内容我们自己可以添加、改变，点击相应栏目就显示相应做的内容3、百度贴吧，百度关键词、网站推广之类的一条龙推广服务 公司目前有一网站想从多方面进行推广：要求从以下方面进行推广：论坛发帖　　QQ群推广　　　　微信营销　　　微博推广问答推广　　百度平台推广　　新闻稿发布　　邮件代发博客推广　　分类网站发帖　　QQ空间转载　　APP推广论坛顶贴　　论坛帖子加精　　B2B企业产品发布友情链接　　评价评论推广　　 有实力有兴趣团队欢迎来详谈 引进任务,2015-03-15,2015.03.19,任务编号：337624,10000.0,"20天,30天,5天,30天,2天","北京市-北京市-海淀区,湖南省-长沙市-芙蓉区,(null)-(null),福建省-福州市-鼓楼区,福建省-厦门市-思明区",北京博雅工作室,https://shop.epwk.com/0z5o41287njq/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信推广
【关键词优化】提高网站点击率及浏览量,https://task.epwk.com/335387/,2776人,3人,1000元以内,圆满完成,在那边,提高http://www.guwenhao.cn 的网站点击率至10000，价格为￥10.00 ，通过制造有利于网站文章或课程的30个问答，分别在百度知道，360问问等多了问答网站出现，价格为￥10.00，提高百度词条点击浏览次数至5000，价格￥10.00，以上价格只是参考价。详情站内信沟通。,2015-03-04,2015.05.20,任务编号：335387,500.0,"30天,30天,7天","湖南省-郴州市-北湖区,北京市-北京市-东城区,陕西省西安市碑林区",程峰电子商务有限公司,https://shop.epwk.com/mod04go3k5yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【APP推广】QQ群推广来专业人士,https://task.epwk.com/318744/,2026人,2人,1000元以内,圆满完成,奥杰森创意,一百个群，指定地区和行业，请报价格和留下联系QQ，我会与你联系。后期有大量其他方面推广合作。,2014-11-26,2014.12.07,任务编号：318744,100.0,"7天,7天","广东省-广州市-东山区,湖南省长沙市岳麓区",yuange,https://shop.epwk.com/4rn8qvol9ngm/,yuange,出售服务,https://shop.epwk.com/4rn8qvol9ngm/chushou/,个人,九品,36分,,,yuange,,,,,,,,,,,,,,,,,,,,APP推广
